reviewId;userName;userImage;content;score;thumbsUpCount;reviewCreatedVersion;at;replyContent;repliedAt;content_clean;predicted_category;sentiment
6a16e5f9-8425-45dd-8ba5-6d4f69636923;94 memento (‪Theintan Win‬);https://play-lh.googleusercontent.com/a-/AD5-WClorJJCx6rs0GxbXDfgHRpDIgriGhRoeGom0LUWJg;sorry we could not rerach the netflix service.please check network settings to connect to an available network and use netflix (-100) for sony bravia android tv KD-43X7500F;1;0;9.0.6 build 17025;2023-01-20 18:52:11;;;sorry could rerach netflix serviceplease check network setting connect available network use netflix 100 sony bravia android tv kd43x7500f;INTERFACE;NEUTRAL
7c658fa8-fcbf-4ed7-bb8f-d99dffb06485;Marwan Elhakim;https://play-lh.googleusercontent.com/a/AEdFTp5RzJsGpoy9ZYgrhwRfi_eQtKaZ2_mBXDPbuScU=mo;perfect;5;0;9.0.5 build 11217;2023-01-20 01:33:34;;;perfect;USER_EXPERIENCE;POSITIVE
d929ea55-2417-4e27-8f97-9adc6d16f3ad;anadi sthapak;https://play-lh.googleusercontent.com/a-/AD5-WCkpLceVaQi3i-HVbnBTuKBDP-qvrbtkfoKtMcbA3_I;too much lag.kindly fix it;1;0;9.0.5 build 11217;2023-01-18 13:04:13;;;much lagkindly fix;USER_EXPERIENCE;NEUTRAL
da2f550c-005e-41a5-8439-d9f43b983906;Sean Terrence Quilang;https://play-lh.googleusercontent.com/a-/AD5-WCl1SeRxv9i32zrFJj71vv0KwOWwDeNNCTIVzqVs;netflix is not sign in;1;0;9.0.5 build 11217;2023-01-17 10:24:18;;;netflix sign;USER_EXPERIENCE;NEUTRAL
f6af7011-c954-4e4d-a292-a7d7977e1e86;Chad Urban;https://play-lh.googleusercontent.com/a/AEdFTp4L3jhOpv6PCCweY8DwjTGE1A9JMBaPmBc4qj9r=mo;because it has so many options;5;0;8.3.4 build 4625;2023-01-16 22:35:30;;;many option;INTERFACE;NEUTRAL
e7d21d8e-13ec-4fb3-8d2a-65737d9bda07;Eng. Ammar Alkaaki;https://play-lh.googleusercontent.com/a-/AD5-WCnYG-v0Yt7KqxDKtZMkWj6yDoCBolFLgiXfZoY2nA;v slow ,althoughfast Internet;1;0;9.0.5 build 11217;2023-01-16 03:50:26;;;v slow althoughfast internet;INTERFACE;NEUTRAL
03b5d2e2-9c4c-4170-81ed-93128cd0d8f1;Nivesh Rughubeer;https://play-lh.googleusercontent.com/a/AEdFTp6GEr1X7Th8VHBMsVWeu-dxgYPv_h6lXs26D2Da=mo;easy to use. love it.;5;0;9.0.5 build 11217;2023-01-15 23:49:39;;;easy use love;INTERFACE;POSITIVE
4ea5d0b2-98ed-494d-b148-3a619068ab2c;Steven Ellis (Pwniepnwie);https://play-lh.googleusercontent.com/a-/AD5-WCljQswUfmBjK9cZvBH6u-wfOSBCAqQpfIat44DD;need to sign in to cast;1;0;9.0.5 build 11217;2023-01-15 15:53:19;;;need sign cast;INTERFACE;NEUTRAL
c9910dde-595b-40c8-9b27-106db9779a7a;Brahmani reddy;https://play-lh.googleusercontent.com/a-/AD5-WCkshubzfYFkLp1oqtpYss8BD_939XHsbK4U-PqT;only app that keeps crashing on OnePlus Tv;2;0;9.0.5 build 11217;2023-01-15 10:21:32;;;app keep crashing oneplus tv;USER_EXPERIENCE;NEGATIVE
3a62a429-8e88-4441-a218-cc91f7dd167d;samih najm;https://play-lh.googleusercontent.com/a/AEdFTp6F7XboUpuaSEd4URgtxoJP_VbUDJDyLYQVPyq_=mo;glitchy and unpredictable. total mess!;1;0;9.0.5 build 11217;2023-01-12 06:39:05;;;glitchy unpredictable total mess;USER_EXPERIENCE;NEGATIVE
ca059b2e-d88f-4d68-97c0-0da36a325729;Shona Weir;https://play-lh.googleusercontent.com/a-/AD5-WCnN0xMkB5WR3CVgu0EPQLQZ2Im3cM6MW9TZr83VvA;I love this app I can watch my favourite movies and shows;5;0;9.0.5 build 11217;2023-01-10 03:06:36;;;love app watch favourite movie show;USER_EXPERIENCE;POSITIVE
2caceb01-d089-40eb-92cc-bc7eefbd2c26;Saoirse Kelly;https://play-lh.googleusercontent.com/a-/AD5-WClCpRFNE2J-PttBZKYh1dNL9yHuFXW5QCpCotoi;Very difficult to navigate app on Chromecast and on the app on phone. The app is very laggy and there is not much choice for viewer options. This is disappointing since Netflix is a popular option for streaming online;1;8;9.0.5 build 11217;2023-01-06 06:37:20;;;difficult navigate app chromecast app phone app laggy much choice viewer option disappointing since netflix popular option streaming online;INTERFACE;NEGATIVE
338fcd11-6a2d-476d-95da-bbdf66a51b46;N A;https://play-lh.googleusercontent.com/a-/AD5-WCnCjnUaSgQY4WXzcD-3h4Dw9Utvf-O3DtfGHeGj;bloatware can't delete;1;0;8.3.2 build 4580;2023-01-02 02:22:49;;;bloatware cant delete;INTERFACE;NEGATIVE
d86ec456-93de-41bf-8eba-8bd28e5463d1;Pichon Snchz;https://play-lh.googleusercontent.com/a-/AD5-WCmoXOuUybM5dQh2NEGXCvU2GCKLhLANZ5ZT1B6jAQ;does not support Xgimi in 4k;1;0;9.0.5 build 11217;2023-01-02 01:41:04;;;support xgimi 4k;INTERFACE;NEUTRAL
58051d10-0738-4dd1-91b5-55c5f8009f5e;Evan McGuire;https://play-lh.googleusercontent.com/a/AEdFTp6vSVOcES2hKSH-a_sDtTHoC_8pE6JT5mK4rZ8L=mo;app forever crashing;1;0;8.3.4 build 4625;2022-12-30 18:04:55;;;app forever crashing;USER_EXPERIENCE;NEGATIVE
167d60d2-dbf3-4377-9307-a1aec3edc6e1;Vanathaian Johnpeter;https://play-lh.googleusercontent.com/a-/AD5-WCnUiL4L364rgakLIig0NHK3a9tikC7sQCbaptWWAKo;very poor;1;0;;2022-12-28 22:35:58;;;poor;USER_EXPERIENCE;NEGATIVE
4623b3a7-ee40-4577-a085-bac323b7984a;Michael Adams;https://play-lh.googleusercontent.com/a/AEdFTp6AYaEp44Pdh1LLRNktE_fMkJ7nl5Zy-6_u0lTh=mo;why is it not supported on my Chromecast and why can I not speak anything to search something up it's very frustrating;1;0;9.0.5 build 11217;2022-12-28 07:49:52;;;supported chromecast speak anything search something frustrating;INTERFACE;NEGATIVE
cb7a21b5-abc2-4694-bd80-7f33c7703e58;Natsu Dragneel;https://play-lh.googleusercontent.com/a/AEdFTp5dnShcVVE1VwuQuHyEPeOv9xMAlk5S2i8cAdul=mo;User interface is very poor, basically a clone of YouTube. Search and filters nonexistent. Way too much trash and Netflix originals have heavy influence from tobacco companies with first scenes of movie are someone smoking;2;2;9.0.5 build 11217;2022-12-24 08:18:16;;;user interface poor basically clone youtube search filter nonexistent way much trash netflix original heavy influence tobacco company first scene movie someone smoking;INTERFACE;NEGATIVE
5bc1dc2f-b202-446a-a8bd-deba5ed026c3;Lorena Grace Casidsid;https://play-lh.googleusercontent.com/a/AEdFTp7PaRvATDvn5LXkrbEjIbmY8OkFrC0m_YPc0j2N-A=mo;can't watch it;3;0;9.0.5 build 11217;2022-12-21 17:07:30;;;cant watch;INTERFACE;NEGATIVE
f15d1c7e-3e1c-4d33-918d-52497462c2dd;Naome Mashigo;https://play-lh.googleusercontent.com/a-/AD5-WCktYRlV0YvjsfAXM4KzKnDgbeSGlqXNqmEK68k6_w;Good exprience;5;0;8.3.4 build 4625;2022-12-19 21:52:03;;;good exprience;USER_EXPERIENCE;POSITIVE
17a8fabb-f2e3-4594-9600-1f0c8391d5f5;Kapil Gala;https://play-lh.googleusercontent.com/a-/AD5-WClDo2cnF6hOe1pxqPQPYyiPMhQph0TJ7vfNk1ipuzk;absolutely host interface to manual channels;1;0;8.3.4 build 4625;2022-12-17 21:03:35;;;absolutely host interface manual channel;INTERFACE;NEUTRAL
ba2edcce-c81c-455a-a470-09c4a075245b;ADREEN HAQEEM;https://play-lh.googleusercontent.com/a-/AD5-WCl-taYAx06p8mXaAwn7IJ5V1lcz09hYLdMgQmPr;the 4k is so smooth on my Chromecast;5;0;9.0.5 build 11217;2022-12-16 15:51:17;;;4k smooth chromecast;INTERFACE;NEUTRAL
fa25812e-16b4-47c0-83c8-f30dad2599ff;sean-paul campbell;https://play-lh.googleusercontent.com/a/AEdFTp4hEFqJV_1vX3iZEx3JQCjTlvaxRERDJcDJASWP=mo;Have to trawl through loads of dubbed stuff which makes finding something painstakingly annoying, please add a switch or something in settings to allow us to disable/hide dubbed content.;1;9;9.0.5 build 11217;2022-12-16 10:12:25;;;trawl load dubbed stuff make finding something painstakingly annoying please add switch something setting allow u disablehide dubbed content;INTERFACE;NEGATIVE
